#Motion Sensor Data File Sep 25, 2017 5:44 PM
#Time (s)	Distance (cm)	Dist Error (cm)
#0.000	17.771	0.239
4.110	29.342	0.239
4.120	29.139	0.239
4.130	28.905	0.239
4.140	28.620	0.239
4.150	28.301	0.239
4.160	27.956	0.239
4.170	27.563	0.239
4.180	27.124	0.239
4.190	26.663	0.239
4.200	26.232	0.239
4.210	25.710	0.239
4.220	25.236	0.239
4.230	24.667	0.239
4.240	24.099	0.239
4.250	23.590	0.239
4.260	23.000	0.239
4.270	22.281	0.239
4.280	21.983	0.239
4.290	21.169	0.239
4.300	20.880	0.239
4.310	20.385	0.239
4.320	19.683	0.239
4.330	19.221	0.239
4.340	18.786	0.239
4.350	18.424	0.239
4.360	18.066	0.239
4.370	17.734	0.239
4.380	17.449	0.239
4.390	17.177	0.239
4.400	17.003	0.239
4.410	16.908	0.239
4.420	16.739	0.239
4.430	16.467	0.239
4.440	16.681	0.239
4.450	16.718	0.239
4.460	16.575	0.239
4.470	17.004	0.239
4.480	17.188	0.239
4.490	17.406	0.239
4.500	17.654	0.239
4.510	17.975	0.239
4.520	18.279	0.239
4.530	18.717	0.239
4.540	19.107	0.239
4.550	19.583	0.239
4.560	20.029	0.239
4.570	20.518	0.239
4.580	21.282	0.239
4.590	21.534	0.239
4.600	22.316	0.239
4.610	22.882	0.239
4.620	23.431	0.239
4.630	24.011	0.239
4.640	24.547	0.239
4.650	25.036	0.239
4.660	25.594	0.239
4.670	26.052	0.239
4.680	26.563	0.239
4.690	27.004	0.239
4.700	27.399	0.239
4.710	27.811	0.239
4.720	28.171	0.239
4.730	28.492	0.239
4.740	28.774	0.239
4.750	29.014	0.239
4.760	29.206	0.239
4.770	29.360	0.239
4.780	29.479	0.239
4.790	29.538	0.239
4.800	29.550	0.239
4.810	29.519	0.239
4.820	29.440	0.239
4.830	29.319	0.239
4.840	29.154	0.239
4.850	28.942	0.239
4.860	28.696	0.239
4.870	28.402	0.239
4.880	28.075	0.239
4.890	27.725	0.239
4.900	27.329	0.239
4.910	26.897	0.239
4.920	26.441	0.239
4.930	25.975	0.239
4.940	25.445	0.239
4.950	24.945	0.239
4.960	24.428	0.239
4.970	23.902	0.239
4.980	23.377	0.239
4.990	22.834	0.239
5.000	22.265	0.239
5.010	21.774	0.239
5.020	21.059	0.239
5.030	20.714	0.239
5.040	20.090	0.239
5.050	19.805	0.239
5.060	19.335	0.239
5.070	18.710	0.239
5.080	18.606	0.239
5.090	18.007	0.239
5.100	17.705	0.239
5.110	17.093	0.239
5.120	17.260	0.239
5.130	17.065	0.239
5.140	16.914	0.239
5.150	17.136	0.239
5.160	16.460	0.239
5.170	16.239	0.239
5.180	16.621	0.239
5.190	16.736	0.239
5.200	16.872	0.239
5.210	17.357	0.239
5.220	17.605	0.239
5.230	17.599	0.239
5.240	18.170	0.239
5.250	18.556	0.239
5.260	19.230	0.239
5.270	19.396	0.239
5.280	20.057	0.239
5.290	20.254	0.239
5.300	20.979	0.239
5.310	21.515	0.239
5.320	22.022	0.239
5.330	22.550	0.239
5.340	23.112	0.239
5.350	23.635	0.239
5.360	24.175	0.239
5.370	24.690	0.239
5.380	25.248	0.239
5.390	25.741	0.239
5.400	26.221	0.239
5.410	26.680	0.239
5.420	27.053	0.239
5.430	27.508	0.239
5.440	27.872	0.239
5.450	28.198	0.239
5.460	28.493	0.239
5.470	28.746	0.239
5.480	28.955	0.239
5.490	29.130	0.239
5.500	29.258	0.239
5.510	29.348	0.239
5.520	29.394	0.239
5.530	29.392	0.239
5.540	29.348	0.239
5.550	29.261	0.239
5.560	29.139	0.239
5.570	28.967	0.239
5.580	28.763	0.239
5.590	28.504	0.239
5.600	28.202	0.239
5.610	27.865	0.239
5.620	27.495	0.239
5.630	27.072	0.239
5.640	26.654	0.239
5.650	26.193	0.239
5.660	25.688	0.239
5.670	25.236	0.239
5.680	24.680	0.239
5.690	24.172	0.239
5.700	23.663	0.239
5.710	23.090	0.239
5.720	22.594	0.239
5.730	21.944	0.239
5.740	21.573	0.239
5.750	20.824	0.239
5.760	20.311	0.239
5.770	19.837	0.239
5.780	19.423	0.239
5.790	19.048	0.239
5.800	18.582	0.239
5.810	18.216	0.239
5.820	17.922	0.239
5.830	17.651	0.239
5.840	17.439	0.239
5.850	17.016	0.239
5.860	16.809	0.239
