#Motion Sensor Data File Sep 25, 2017 5:44 PM
#Time (s)	Velocity (cm/s)
#0.000	NaN
14.960	2.494
14.970	-2.279
14.980	-4.859
14.990	-8.256
15.000	-13.029
15.010	-16.469
15.020	-20.296
15.030	-25.069
15.040	-29.326
15.050	-25.069
15.060	-35.389
15.070	-35.776
15.080	-37.109
15.090	-38.786
15.100	-37.109
15.110	-42.656
15.120	-50.009
15.130	-41.796
15.140	-43.989
15.150	-49.106
15.160	-43.559
15.170	-61.146
15.180	-28.079
15.190	-40.119
15.200	-65.876
15.210	-13.889
15.220	-63.726
15.230	-36.679
15.240	-32.766
15.250	-27.649
15.260	-24.596
15.270	-18.189
15.280	-22.919
15.290	-15.566
15.300	-10.449
15.310	-11.739
15.320	1.204
15.330	-3.139
15.340	3.741
15.350	9.804
15.360	14.921
15.370	13.631
15.380	20.081
15.390	26.961
15.400	17.114
15.410	32.121
15.420	32.121
15.430	33.411
15.440	35.991
15.450	40.764
15.460	69.531
15.470	16.641
15.480	69.101
15.490	44.161
15.500	39.431
15.510	50.181
15.520	46.354
15.530	39.001
15.540	48.031
15.550	43.301
15.560	36.421
15.570	40.721
15.580	39.904
15.590	34.701
15.600	27.391
15.610	28.251
15.620	28.681
15.630	23.994
15.640	19.651
15.650	15.781
15.660	11.911
15.670	8.514
15.680	4.601
15.690	2.021
15.700	-3.139
15.710	-6.966
15.720	-10.449
15.730	-14.749
15.740	-17.716
15.750	-21.629
15.760	-24.596
15.770	-27.649
15.780	-31.089
15.790	-31.906
15.800	-35.819
15.810	-36.636
15.820	-40.979
15.830	-39.216
15.840	-42.699
15.850	-51.256
15.860	-38.829
15.870	-43.086
15.880	-52.159
15.890	-65.446
15.900	-18.189
15.910	-44.849
15.920	-65.016
15.930	-7.439
15.940	-69.746
15.950	-37.539
15.960	-30.616
15.970	-30.229
15.980	-26.746
15.990	6.751
16.000	-53.879
16.010	-42.226
16.020	15.781
16.030	-41.796
16.040	27.391
16.050	-25.929
16.060	-2.279
16.070	4.214
16.080	33.411
16.090	13.631
16.100	24.381
16.110	17.114
16.120	20.511
16.130	27.821
16.140	33.841
16.150	30.831
16.160	34.744
16.170	45.451
16.180	56.201
16.190	15.781
16.200	65.231
16.210	42.441
16.220	43.774
16.230	48.891
16.240	38.141
16.250	44.591
